Function,./bin/1-2/sll-reverse.exe.__do_global_ctors_aux,./bin/1-2/sll-reverse.exe.__do_global_dtors_aux,./bin/1-2/sll-reverse.exe.__libc_csu_fini,./bin/1-2/sll-reverse.exe.__libc_csu_init,./bin/1-2/sll-reverse.exe._fini,./bin/1-2/sll-reverse.exe.add_node,./bin/1-2/sll-reverse.exe.call_gmon_start,./bin/1-2/sll-reverse.exe.delete_node,./bin/1-2/sll-reverse.exe.frame_dummy,./bin/1-2/sll-reverse.exe.list_nodes,./bin/1-2/sll-reverse.exe.list_nodes_in_reverse_order,./bin/1-2/sll-reverse.exe.main,./bin/1-2/sll-reverse.exe.reverse_with_recursion,./bin/1-2/sll-reverse.exe.reverse_with_recursion_anotherway,./bin/1-2/sll-reverse.exe.reverse_without_recursion
./src/1-2/list.Find,1.0,1.0,1.0,1.0,1.0,0.808883078846,1.0,0.808085173664,1.0,0.77054271409,0.808883078846,1.0,1.0,1.0,0.696958221483
./src/1-2/list.FindPrevious,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.936028391221,1.0,0.885271357045,0.522207697115,0.664523109656,1.0,1.0,0.848479110742
./src/1-2/list.First,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.Header,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.Insert,1.0,1.0,1.0,1.0,1.0,0.808883078846,1.0,0.936028391221,1.0,1.0,0.904441539423,1.0,0.919807717928,0.516206095792,0.848479110742
./src/1-2/list.IsEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.IsLast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.929180284533,1.0,1.0,0.846793530743
./src/1-2/list.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.FindMin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.876695167845,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.MakeEmpty,0.642287014659,0.642287014659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O1.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O2.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O2.Find,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,0.8189110443,1.0,1.0,1.0
./src/1-2/tree-O2.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O2.FindMin,1.0,1.0,1.0,1.0,1.0,1.0,0.604715292479,1.0,1.0,1.0,1.0,0.8189110443,1.0,1.0,1.0
./src/1-2/tree-O2.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O2.MakeEmpty,1.0,1.0,0.290804272516,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O2.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.Delete,1.0,1.0,1.0,0.7515480025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.FindMin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.Insert,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.644270875698,1.0,1.0,1.0
./src/1-2/tree-O3.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-O3.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.FindMin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree-Os.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52209304072,0.514087342096,1.0,1.0
./src/1-2/tree.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.877432974512,1.0,1.0,1.0,0.87577400125,1.0,1.0,1.0
./src/1-2/tree.FindMax,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.705372174506,0.575081707201,0.833333333333,1.0,1.0
./src/1-2/tree.FindMin,1.0,1.0,1.0,1.0,1.0,0.808883078846,1.0,0.936028391221,1.0,0.885271357045,1.0,0.865809243862,0.438654025498,0.758103047896,1.0
./src/1-2/tree.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.877432974512,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/tree.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.912796481567,1.0,1.0
./src/1-2/tree.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
